"study","college","origin","distance","area","washroom","rent","neighborhood","course"
"Undergrad","Agriculture & Bioresources","International","15-30 minutes",31,0,700,"2005","AGR-U-015"
"Undergrad","Medicine","Saskatchewan","30-45 minutes",22.5,0,620,"1025","MED-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",21,0,490,"1053","ASC-U-055"
"Undergrad","Veterinary Medicine","Saskatchewan","more than 45 minutes",24.5,0,550,"0006","VET-U-003"
"Undergrad","Education","Saskatchewan","more than 45 minutes",25,1,530,"0017","EDU-U-005"
"Grad","Agriculture & Bioresources","Saskatchewan","less than 15 minutes",24.5,1,1060,"3004","AGR-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33.5,0,640,"1034","ASC-U-086"
"Undergrad","Business","Saskatchewan","less than 15 minutes",27.5,0,740,"3007","BUS-U-013"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",25,1,480,"0002","NUR-U-006"
"Undergrad","Business","Saskatchewan","more than 45 minutes",22,0,470,"0003","BUS-U-037"
"Undergrad","Education","Saskatchewan","30-45 minutes",29.5,0,640,"1052","EDU-U-003"
"Undergrad","Law","Out of Province","more than 45 minutes",29,0,420,"0008","LAW-U-004"
"Undergrad","Education","Saskatchewan","30-45 minutes",26.5,0,580,"1025","EDU-U-009"
"Undergrad","Kinesiology","International","15-30 minutes",31,0,850,"2013","KIN-U-008"
"Undergrad","Business","Out of Province","less than 15 minutes",31,1,940,"3004","BUS-U-005"
"Grad","Medicine","Out of Province","15-30 minutes",24.5,1,740,"2016","MED-G-001"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",35,0,830,"2028","ASC-U-089"
"Undergrad","Law","Saskatchewan","30-45 minutes",24.5,0,460,"1054","LAW-U-001"
"Undergrad","Business","Saskatchewan","more than 45 minutes",29,0,440,"0018","BUS-U-002"
"Undergrad","Business","Saskatchewan","less than 15 minutes",40.5,0,1040,"3011","BUS-U-015"
"Undergrad","Business","Out of Province","more than 45 minutes",15.5,0,510,"0014","BUS-U-030"
"Grad","Veterinary Medicine","Out of Province","15-30 minutes",33,0,710,"2029","VET-G-004"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25.5,0,630,"1036","ASC-U-096"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",28.5,0,680,"3010","ASC-U-057"
"Grad","Medicine","Saskatchewan","less than 15 minutes",30.5,1,1390,"3003","MED-G-002"
"Grad","Medicine","Saskatchewan","30-45 minutes",37,0,840,"1014","MED-G-003"
"Grad","Public Policy","Saskatchewan","less than 15 minutes",31.5,1,1070,"3003","POL-G-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",23.5,0,380,"1012","ASC-U-007"
"Undergrad","Education","Out of Province","15-30 minutes",28.5,0,830,"2006","EDU-U-021"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",18,0,460,"2027","ASC-G-002"
"Undergrad","Business","Out of Province","less than 15 minutes",19,1,830,"3010","BUS-U-018"
"Grad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",30.5,1,820,"0011","AGR-G-001"
"Undergrad","Engineering","Out of Province","15-30 minutes",31.5,0,850,"2010","ENG-U-018"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",42.5,1,1280,"1007","ENG-U-017"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30.5,0,610,"1004","ASC-U-132"
"Med Residents","Medicine","International","15-30 minutes",28.5,1,800,"2012","MED-M-002"
"Non-degree","Business","Saskatchewan","30-45 minutes",31,0,590,"1051","BUS-N-001"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",30.5,0,810,"1046","ASC-G-001"
"Undergrad","Arts and Science","International","30-45 minutes",31,0,720,"1048","ASC-U-110"
"Grad","Environment & Sustainability","International","15-30 minutes",26.5,0,620,"2001","ENV-G-003"
"Undergrad","Medicine","Out of Province","30-45 minutes",37.5,1,1190,"1023","MED-U-006"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",38.5,1,1390,"2008","ASC-U-014"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",18,0,470,"1036","ASC-U-079"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24.5,0,380,"1025","ASC-U-019"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",41,0,840,"1010","ENG-U-019"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",18.5,0,550,"2023","AGR-U-005"
"Undergrad","Education","Saskatchewan","30-45 minutes",20,0,470,"1036","EDU-U-024"
"Grad","Public Health","Saskatchewan","15-30 minutes",36,0,820,"2034","HEA-G-002"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",38,1,1020,"1033","ASC-U-093"
"Undergrad","Business","Saskatchewan","30-45 minutes",42.5,0,850,"1019","BUS-U-008"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24,0,620,"1007","ASC-U-045"
"Undergrad","Business","International","30-45 minutes",30.5,0,580,"1050","BUS-U-010"
"Grad","Education","International","more than 45 minutes",20,1,530,"0013","EDU-G-003"
"Undergrad","Nursing","International","15-30 minutes",31.5,0,870,"2031","NUR-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",33,1,900,"2028","ASC-U-103"
"Undergrad","Law","Saskatchewan","15-30 minutes",32,0,850,"2005","LAW-U-002"
"Undergrad","Law","Saskatchewan","less than 15 minutes",18,0,540,"3005","LAW-U-001"
"Undergrad","Dentistry","Out of Province","30-45 minutes",27,0,560,"1021","DEN-U-001"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",48,1,1350,"0005","ASC-U-086"
"Undergrad","Business","Out of Province","more than 45 minutes",22,0,540,"0020","BUS-U-032"
"Undergrad","Medicine","Saskatchewan","30-45 minutes",32,0,710,"1039","MED-U-007"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",34,0,420,"0018","ASC-U-139"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",32.5,1,740,"0002","ASC-U-065"
"Undergrad","Arts and Science","International","less than 15 minutes",35,0,1120,"3001","ASC-U-117"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",17.5,0,610,"3003","ASC-U-113"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",32.5,0,700,"2004","ASC-U-042"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",35.5,0,800,"2020","ASC-U-098"
"Grad","Education","International","15-30 minutes",28,0,610,"2004","EDU-G-004"
"Grad","Medicine","Saskatchewan","15-30 minutes",30.5,1,1710,"2013","MED-G-004"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",41,0,860,"1023","ASC-U-074"
"Undergrad","Nursing","Out of Province","15-30 minutes",33.5,0,830,"2008","NUR-U-019"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",40,0,950,"2036","ASC-U-071"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",24.5,1,670,"1021","PHARM-U-003"
"Undergrad","Education","Saskatchewan","less than 15 minutes",23,1,1010,"3007","EDU-U-024"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",40,0,670,"0002","ASC-G-011"
"Undergrad","Business","Saskatchewan","15-30 minutes",25.5,0,690,"2007","BUS-U-001"
"Undergrad","Education","Out of Province","30-45 minutes",57,0,1150,"1036","EDU-U-018"
"Grad","Public Policy","Saskatchewan","15-30 minutes",33.5,0,1830,"2020","POL-G-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",31.5,0,700,"1025","ASC-U-095"
"Grad","Education","Saskatchewan","30-45 minutes",35,0,650,"1004","EDU-G-007"
"Undergrad","Business","Saskatchewan","30-45 minutes",24,0,660,"1025","BUS-U-019"
"Undergrad","Business","Out of Province","more than 45 minutes",24.5,0,390,"0016","BUS-U-021"
"Undergrad","Nursing","International","30-45 minutes",35,0,710,"1049","NUR-U-013"
"Undergrad","Pharmacy & Nutrition","International","30-45 minutes",29.5,0,600,"1035","PHARM-U-005"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",29.5,0,510,"1014","ASC-G-003"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",30,1,1160,"1045","ASC-U-046"
"Undergrad","Kinesiology","International","30-45 minutes",39,0,830,"1035","KIN-U-002"
"Non-degree","Medicine","Saskatchewan","15-30 minutes",40,0,1390,"2021","MED-N-001"
"Undergrad","Engineering","Out of Province","30-45 minutes",25.5,1,760,"1036","ENG-U-009"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",44,0,1930,"3003","ASC-U-005"
"Undergrad","Engineering","Out of Province","15-30 minutes",26,0,740,"2012","ENG-U-006"
"Undergrad","Business","Saskatchewan","more than 45 minutes",32.5,0,520,"0022","BUS-U-013"
"Undergrad","Arts and Science","International","30-45 minutes",19,1,690,"1053","ASC-U-016"
"Grad","Engineering","International","15-30 minutes",25,1,1110,"2008","ENG-G-001"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",22.5,0,800,"3004","ASC-U-067"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",39.5,1,1080,"0018","ASC-G-009"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",32,0,710,"0013","ASC-U-132"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",29.5,0,600,"0011","NUR-U-010"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",37,0,840,"2034","ASC-U-068"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",39,0,650,"1032","ASC-U-028"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",38,0,710,"1012","NUR-U-014"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",33.5,0,650,"1009","ASC-U-016"
"Undergrad","Arts and Science","International","30-45 minutes",34.5,1,1130,"1035","ASC-U-070"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",26.5,0,530,"2014","ASC-U-085"
"Undergrad","Arts and Science","International","30-45 minutes",35.5,1,720,"1039","ASC-U-108"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,0,600,"1023","ASC-U-025"
"Undergrad","Business","Saskatchewan","more than 45 minutes",25,0,650,"0017","BUS-U-014"
"Grad","Engineering","Saskatchewan","30-45 minutes",22,1,690,"1033","ENG-G-001"
"Undergrad","Education","Out of Province","30-45 minutes",42.5,1,1480,"1003","EDU-U-004"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",25.5,1,740,"2027","ASC-G-004"
"Undergrad","Education","Saskatchewan","more than 45 minutes",23,1,570,"0003","EDU-U-021"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",21.5,0,380,"1030","NUR-U-014"
"Grad","Medicine","International","more than 45 minutes",28,0,470,"0001","MED-G-004"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",28,1,790,"1052","ASC-U-038"
"Undergrad","Engineering","International","less than 15 minutes",28.5,0,690,"3008","ENG-U-013"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",35.5,1,1130,"2014","KIN-U-009"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",27.5,0,470,"0016","ASC-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",35.5,0,800,"2028","ASC-U-086"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",24,0,720,"2027","ASC-U-056"
"Undergrad","Nursing","International","30-45 minutes",23,1,700,"1035","NUR-U-010"
"Grad","Nursing","Saskatchewan","15-30 minutes",23,0,620,"2020","NUR-G-002"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",33.5,1,1120,"1046","ENG-U-006"
"Grad","Nursing","Out of Province","30-45 minutes",18.5,0,440,"1041","NUR-G-001"
"Undergrad","Pharmacy & Nutrition","International","more than 45 minutes",27,0,620,"0003","PHARM-U-003"
"Undergrad","Arts and Science","International","15-30 minutes",22.5,0,670,"2020","ASC-U-065"
"Undergrad","Law","International","less than 15 minutes",31,0,900,"3010","LAW-U-002"
"Med Residents","Medicine","Saskatchewan","more than 45 minutes",23.5,0,540,"0004","MED-M-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",38,1,1020,"2033","ASC-U-068"
"Undergrad","Education","Saskatchewan","30-45 minutes",43,1,1840,"1013","EDU-U-004"
